"service_id","group","category_id","category","status","score","confidence","user_result","reason","source_ids"
"OWN-001","OWN","C01","시작과 첫 가치","scored","2","medium","시작과 첫 가치에 대한 확인 가능한 사용자 결과","프로젝트 파일·자동 검사·브라우저·실기기 증거 범위에서 시작과 첫 가치을 보수적으로 평가","SRC-031;SRC-032;SRC-033;SRC-034;SRC-045;SRC-046"
"OWN-001","OWN","C02","핵심 과업 완성도","scored","2","medium","핵심 과업 완성도에 대한 확인 가능한 사용자 결과","프로젝트 파일·자동 검사·브라우저·실기기 증거 범위에서 핵심 과업 완성도을 보수적으로 평가","SRC-031;SRC-032;SRC-033;SRC-034;SRC-045;SRC-046"
"OWN-001","OWN","C03","개인화","scored","1","medium","개인화에 대한 확인 가능한 사용자 결과","프로젝트 파일·자동 검사·브라우저·실기기 증거 범위에서 개인화을 보수적으로 평가","SRC-031;SRC-032;SRC-033;SRC-034;SRC-045;SRC-046"
"OWN-001","OWN","C04","결과 이해와 설명","scored","2","medium","결과 이해와 설명에 대한 확인 가능한 사용자 결과","프로젝트 파일·자동 검사·브라우저·실기기 증거 범위에서 결과 이해와 설명을 보수적으로 평가","SRC-031;SRC-032;SRC-033;SRC-034;SRC-045;SRC-046"
"OWN-001","OWN","C05","오류·실패 복구","scored","2","medium","오류·실패 복구에 대한 확인 가능한 사용자 결과","프로젝트 파일·자동 검사·브라우저·실기기 증거 범위에서 오류·실패 복구을 보수적으로 평가","SRC-031;SRC-032;SRC-033;SRC-034;SRC-045;SRC-046"
"OWN-001","OWN","C06","저장·내보내기·공유","scored","1","medium","저장·내보내기·공유에 대한 확인 가능한 사용자 결과","프로젝트 파일·자동 검사·브라우저·실기기 증거 범위에서 저장·내보내기·공유을 보수적으로 평가","SRC-031;SRC-032;SRC-033;SRC-034;SRC-045;SRC-046"
"OWN-001","OWN","C07","모바일 경험","scored","3","high","모바일 경험에 대한 확인 가능한 사용자 결과","프로젝트 파일·자동 검사·브라우저·실기기 증거 범위에서 모바일 경험을 보수적으로 평가","SRC-031;SRC-032;SRC-033;SRC-034;SRC-045;SRC-046"
"OWN-001","OWN","C08","PC 경험","scored","3","high","PC 경험에 대한 확인 가능한 사용자 결과","프로젝트 파일·자동 검사·브라우저·실기기 증거 범위에서 PC 경험을 보수적으로 평가","SRC-031;SRC-032;SRC-033;SRC-034;SRC-045;SRC-046"
"OWN-001","OWN","C09","플랫폼 간 연속성","scored","2","medium","플랫폼 간 연속성에 대한 확인 가능한 사용자 결과","프로젝트 파일·자동 검사·브라우저·실기기 증거 범위에서 플랫폼 간 연속성을 보수적으로 평가","SRC-031;SRC-032;SRC-033;SRC-034;SRC-045;SRC-046"
"OWN-001","OWN","C10","접근성","scored","2","medium","접근성에 대한 확인 가능한 사용자 결과","프로젝트 파일·자동 검사·브라우저·실기기 증거 범위에서 접근성을 보수적으로 평가","SRC-031;SRC-032;SRC-033;SRC-034;SRC-045;SRC-046"
